filename	first_sentence	second_sentence	label
1-guideline.txt	11. The respondents generally agreed with the objectives listed in the CP but stated that it was unclear     whether a direct link between these GL and the Regulatory technical standards on strong customer     authentication and common and secure open standards for communication (RTS on SCA and CSC)     existed or not. Some supported such a link while others did not, putting forward arguments     accordingly.	12. The EBA considered these arguments and arrived at the view that the GL are a tool for supervisors     to monitor compliance with PSD2 itself and the technical standards and GL that the EBA has     developed in support of the directive, including the RTS on SCA and CSC. Most of the respondents     who raised this issue specifically queried whether or not there was a link between the GL and the     calculation of the fraud rate for the purpose of the transaction-risk analysis (TRA) exemption under     Article 18 of the RTS on SCA and CSC. The EBA clarifies that the GL and the RTS on SCA and CSC are     aligned to the extent that the same two categories included in the reporting for the purpose of the     EBA GL, namely unauthorised transactions and transactions as a result of the manipulation of the     payer, should be used to calculate the fraud rate as explained in paragraph 46 of the EBA Opinion     published on 13 June 2018.	0
1-guideline.txt	12. The EBA considered these arguments and arrived at the view that the GL are a tool for supervisors     to monitor compliance with PSD2 itself and the technical standards and GL that the EBA has     developed in support of the directive, including the RTS on SCA and CSC. Most of the respondents     who raised this issue specifically queried whether or not there was a link between the GL and the     calculation of the fraud rate for the purpose of the transaction-risk analysis (TRA) exemption under     Article 18 of the RTS on SCA and CSC. The EBA clarifies that the GL and the RTS on SCA and CSC are     aligned to the extent that the same two categories included in the reporting for the purpose of the     EBA GL, namely unauthorised transactions and transactions as a result of the manipulation of the     payer, should be used to calculate the fraud rate as explained in paragraph 46 of the EBA Opinion     published on 13 June 2018.	13. In addition, a number of respondents queried the link between the EBA GL and the ECB Regulation     on payment statistics (ECB/2013/43). On the basis of Article 96(6) PSD2, which refers to both the     ECB and the EBA, the objectives of the draft GL included an objective for the ESCB oversight of     payment schemes and instruments. In parallel, the ECB is currently reviewing its Regulation and     has for that purpose conducted a fact-finding exercise. This review is exploring, inter alia, whether     the scope of the Regulation can be extended to include fraud statistics to serve the ESCB’s     oversight function. In view of this development, the EBA has concluded that the EBA GL should be     primarily a tool for the purpose of supervision and that therefore the data required to be reported     should be suitable and necessary for those purposes. As a result, the EBA GL no longer require the     reporting of data that are solely relevant for oversight purposes.	0
	13. In addition, a number of respondents queried the link between the EBA GL and the ECB Regulation     on payment statistics (ECB/2013/43). On the basis of Article 96(6) PSD2, which refers to both the     ECB and the EBA, the objectives of the draft GL included an objective for the ESCB oversight of     payment schemes and instruments. In parallel, the ECB is currently reviewing its Regulation and     has for that purpose conducted a fact-finding exercise. This review is exploring, inter alia, whether     the scope of the Regulation can be extended to include fraud statistics to serve the ESCB’s     oversight function. In view of this development, the EBA has concluded that the EBA GL should be     primarily a tool for the purpose of supervision and that therefore the data required to be reported     should be suitable and necessary for those purposes. As a result, the EBA GL no longer require the     reporting of data that are solely relevant for oversight purposes.	                                                                                                       6 FINAL REPORT ON FRAUD REPORTING GUIDELINES UNDER PSD2	0
1-guideline.txt	                                                                                                       6 FINAL REPORT ON FRAUD REPORTING GUIDELINES UNDER PSD2	14. This means that it is envisaged that the regulatory requirements related to fraud reporting consist     of two components: (i) the EBA GL, which focus on the reporting of data that are relevant mostly     for supervisory purposes, which will become applicable from January 2019 and (ii) an appropriate     ESCB regulatory tool to outline oversight-only reporting requirements for fraud data on means of     payment (e.g. potentially a revised ECB Regulation on payment statistics).	0
1-guideline.txt	14. This means that it is envisaged that the regulatory requirements related to fraud reporting consist     of two components: (i) the EBA GL, which focus on the reporting of data that are relevant mostly     for supervisory purposes, which will become applicable from January 2019 and (ii) an appropriate     ESCB regulatory tool to outline oversight-only reporting requirements for fraud data on means of     payment (e.g. potentially a revised ECB Regulation on payment statistics).	15. The EBA, in close cooperation with the ECB, has endeavoured to ensure that the methodology,     definitions, fraud types and categories that are specified in the EBA GL when requiring reporting     of the same payment data are consistent with other reporting instruments (e.g. the ECB Regulation     on payment statistics), thus minimising the reporting burden on PSPs.	0
1-guideline.txt	15. The EBA, in close cooperation with the ECB, has endeavoured to ensure that the methodology,     definitions, fraud types and categories that are specified in the EBA GL when requiring reporting     of the same payment data are consistent with other reporting instruments (e.g. the ECB Regulation     on payment statistics), thus minimising the reporting burden on PSPs.	16. The EBA may wish at a later stage to publish aggregate and anonymised statistical data (i.e. not     containing any confidential information).	0
1-guideline.txt	16. The EBA may wish at a later stage to publish aggregate and anonymised statistical data (i.e. not     containing any confidential information).	Categories of fraudulent transactions to be reported	0
1-guideline.txt	Categories of fraudulent transactions to be reported	17. Some respondents disagreed with the inclusion of ‘manipulation of the payer’ and ‘payer acting     fraudulently’ in addition to ‘unauthorised transactions’ within the total of ‘fraudulent payment     transactions’, arguing that these data were unreliable or that such fraud was not within the control     of PSPs and therefore should not be reported by them. The EBA considered these arguments and     arrived at the view that, while it is important to have a complete and accurate picture of payment     fraud, fraud that is completely outside of the control of PSPs should not be included, as it is of     limited relevance and interest to the supervisors of PSPs (although it may be relevant for other     authorities, including law enforcement). The EBA has therefore concluded that the category ‘payer     acting fraudulently’ should be excluded.	0
1-guideline.txt	17. Some respondents disagreed with the inclusion of ‘manipulation of the payer’ and ‘payer acting     fraudulently’ in addition to ‘unauthorised transactions’ within the total of ‘fraudulent payment     transactions’, arguing that these data were unreliable or that such fraud was not within the control     of PSPs and therefore should not be reported by them. The EBA considered these arguments and     arrived at the view that, while it is important to have a complete and accurate picture of payment     fraud, fraud that is completely outside of the control of PSPs should not be included, as it is of     limited relevance and interest to the supervisors of PSPs (although it may be relevant for other     authorities, including law enforcement). The EBA has therefore concluded that the category ‘payer     acting fraudulently’ should be excluded.	18. By contrast, and although the reporting of data under the category of ‘fraud by manipulation of     the payer’ may not be completely reliable yet, the EBA is of the view that such fraud cases are     caused by a third party manipulating a payer into making a payment and that it is, at least partially,     the responsibility of the PSP to identify any such potential case. This is particularly the case with     regard to the use of transaction monitoring systems, and in particular TRA. This is of particular     concern to the EBA, given that this type of fraud has significantly increased in recent years,     suggesting that fraudsters may be shifting to this modus operandi. Therefore PSPs and CAs will     need to report data to this category alongside data in the category of unauthorised transactions.	0
1-guideline.txt	18. By contrast, and although the reporting of data under the category of ‘fraud by manipulation of     the payer’ may not be completely reliable yet, the EBA is of the view that such fraud cases are     caused by a third party manipulating a payer into making a payment and that it is, at least partially,     the responsibility of the PSP to identify any such potential case. This is particularly the case with     regard to the use of transaction monitoring systems, and in particular TRA. This is of particular     concern to the EBA, given that this type of fraud has significantly increased in recent years,     suggesting that fraudsters may be shifting to this modus operandi. Therefore PSPs and CAs will     need to report data to this category alongside data in the category of unauthorised transactions.	19. In addition, and in line with suggestions from a number of respondents, the two categories     mentioned above have been aligned with fraud types and sub-types detailed in Annex 2.	0
1-guideline.txt	19. In addition, and in line with suggestions from a number of respondents, the two categories     mentioned above have been aligned with fraud types and sub-types detailed in Annex 2.	20. Regarding the reporting of fraudulent payment transactions in the context of direct debits, the     EBA clarifies that refunds under eight weeks should not be automatically reported, as they do not     always indicate fraud cases; such transactions should be reported only if they were subject to fraud     and the reporting PSP was aware that this was the case, without implying any legal obligation to     ask the payment service user whether this was the case.	0
	20. Regarding the reporting of fraudulent payment transactions in the context of direct debits, the     EBA clarifies that refunds under eight weeks should not be automatically reported, as they do not     always indicate fraud cases; such transactions should be reported only if they were subject to fraud     and the reporting PSP was aware that this was the case, without implying any legal obligation to     ask the payment service user whether this was the case.	Scope and addressees	0
1-guideline.txt	Scope and addressees	                                                                                                        7 FINAL REPORT ON FRAUD REPORTING GUIDELINES UNDER PSD2	0
1-guideline.txt	                                                                                                        7 FINAL REPORT ON FRAUD REPORTING GUIDELINES UNDER PSD2	21. A significant number of respondents disagreed with the proposal in the CP not to include registered     AISPs. Some respondents suggested that these providers should also be monitoring fraud and that,     as new providers, it was important for them to report. However, most respondents agreed that     these providers could not report any fraudulent payment transactions data and that including     them would therefore require a change in the scope of the GL, which is limited to fraudulent     payment transactions.	0
1-guideline.txt	21. A significant number of respondents disagreed with the proposal in the CP not to include registered     AISPs. Some respondents suggested that these providers should also be monitoring fraud and that,     as new providers, it was important for them to report. However, most respondents agreed that     these providers could not report any fraudulent payment transactions data and that including     them would therefore require a change in the scope of the GL, which is limited to fraudulent     payment transactions.	22. Having assessed these responses, the EBA remains of the view that, for the purpose of these GL,     registered AISPs remain excluded from the requirement to report on ‘means of payment’ in     accordance with Article 96(6) PSD2. For overall supervisory purposes, statistical data from     registered AISPs may be relevant to CAs, independently from this reporting.	0
1-guideline.txt	22. Having assessed these responses, the EBA remains of the view that, for the purpose of these GL,     registered AISPs remain excluded from the requirement to report on ‘means of payment’ in     accordance with Article 96(6) PSD2. For overall supervisory purposes, statistical data from     registered AISPs may be relevant to CAs, independently from this reporting.	23. When developing the CP, the EBA had not specifically considered card-based payment instrument     issuers (CBPIIs). Having assessed the responses received and having considered the business     models of CBPIIs, the EBA has concluded that CBPIIs, too, should report under the card issuer Data     Breakdowns C and E in Annex 2 of the GL.	0
1-guideline.txt	23. When developing the CP, the EBA had not specifically considered card-based payment instrument     issuers (CBPIIs). Having assessed the responses received and having considered the business     models of CBPIIs, the EBA has concluded that CBPIIs, too, should report under the card issuer Data     Breakdowns C and E in Annex 2 of the GL.	24. A number of respondents also queried if sub-acquirers or acquirers should report. Again, the EBA     has assessed the responses received and has concluded that the acquirer that has the contract     with the payment service user is the one required to report the transaction and that transactions     should be reported under Data Breakdown D on card acquiring.	0
1-guideline.txt	24. A number of respondents also queried if sub-acquirers or acquirers should report. Again, the EBA     has assessed the responses received and has concluded that the acquirer that has the contract     with the payment service user is the one required to report the transaction and that transactions     should be reported under Data Breakdown D on card acquiring.	25. With regard to the scope of the GL, the draft CP included both gross and net fraud. Many     respondents were critical of the inclusion of net fraud. They criticised the definition used as well     as questioning the practical implementation and raising methodological issues related to     calculating net fraud figures. Many of these respondents also disagreed that the inclusion of net     fraud would provide CAs, the EBA and the ECB with the information they sought, namely where     the responsibility lay and consequently who had borne the losses. They also suggested it was more     a prudential measure than a data reporting one, and therefore not relevant to these GL.	0
